codmun,n_obs,pop_weight_sum,AAI_total,AAI_ci_lower,AAI_ci_upper,AAI_ci_width,health_score,functional_score,reliable,uf
500028,10,3970.81485609,0.2668678868092412,0.15473672062505026,0.4394361323320335,0.2846994117069832,0.38579060147427774,0.1479451721442046,False,Mato Grosso do Sul
500029,12,6500.827720109999,0.20836509007438947,0.15394064363144067,0.27315728873497797,0.1192166451035373,0.32570899928744595,0.09102118086133307,False,Mato Grosso do Sul
500030,14,8585.076122370001,0.16778835556189567,0.11166629373542643,0.24083569864874244,0.12916940491331602,0.28099354316352426,0.05458316796026706,False,Mato Grosso do Sul
500031,9,6346.531102260001,,,,,0.24659248984681376,0.0,False,Mato Grosso do Sul
500032,11,4480.36714164,0.15760735511428398,0.12362955720425507,0.2155809185847345,0.09195136138047942,0.28069322077337916,0.03452148945518886,False,Mato Grosso do Sul
500033,11,5309.971091949999,0.14819352437945435,0.1207720662052624,0.18925345569659088,0.06848138949132848,0.27392342751804505,0.02246362124086365,False,Mato Grosso do Sul
500034,4,1609.1993884899998,,,,,0.28448673499705995,0.028206109654373663,False,Mato Grosso do Sul
500035,17,10635.05575981,0.21946972381052768,0.13148661890735927,0.3568481617530042,0.22536154284564494,0.33899384124212006,0.09994560637893539,False,Mato Grosso do Sul
500036,14,11742.974224040001,0.15570881010660068,0.12386304023238852,0.21524512378548294,0.09138208355309442,0.27857778133234695,0.03283983888085441,False,Mato Grosso do Sul
500037,23,11612.810162779999,0.17124250568922486,0.1069302971542938,0.2626205577981672,0.15569026064387337,0.26626844672256816,0.07621656465588154,False,Mato Grosso do Sul
500038,40,13781.666765119999,0.15885835274676413,0.13156625166660377,0.19919050070242386,0.0676242490358201,0.2814004784133097,0.03631622708021863,True,Mato Grosso do Sul
500039,11,7244.6192287799995,0.18521119597051136,0.123247059897656,0.26346594061410034,0.14021888071644434,0.3036598823475474,0.06676250959347524,False,Mato Grosso do Sul
500040,5,3288.4905136499997,,,,,0.26270242727196536,0.0,False,Mato Grosso do Sul
500044,4,1862.63374098,,,,,0.3041856958902428,0.04910881036540941,False,Mato Grosso do Sul
500045,6,1944.03771859,,,,,0.24335709543222814,0.0,False,Mato Grosso do Sul
500046,13,4783.1777408,0.1709763882137675,0.11333894331354455,0.23849060157593072,0.12515165826238617,0.28427593018298,0.05767684624455509,False,Mato Grosso do Sul
500047,4,1423.6442807600001,,,,,0.2504382627442189,0.007188291906765431,False,Mato Grosso do Sul
500048,16,5980.63653245,0.2866908423393548,0.1397231133252402,0.4487974162048135,0.30907430287957327,0.4096924314952428,0.16368925318346694,False,Mato Grosso do Sul
500049,4,2789.5049596199997,,,,,0.3170356673054852,0.08031362960903973,False,Mato Grosso do Sul
500050,21,9869.9683834,0.1925331836226029,0.14662822476477025,0.23594518884340043,0.08931696407863018,0.31071735734952133,0.0743490098956845,False,Mato Grosso do Sul
500051,6,2438.5698205999997,,,,,0.3218163089058452,0.09341206593746523,False,Mato Grosso do Sul
500052,8,7270.68544891,,,,,0.26513514561844176,0.013571250444865908,False,Mato Grosso do Sul
500053,7,8598.02698624,,,,,0.2882651865656577,0.04722844943309242,False,Mato Grosso do Sul
500054,3,2915.13540844,,,,,0.24531006973816116,0.0,False,Mato Grosso do Sul
500055,5,1656.68081717,,,,,0.24302635308991308,0.0,False,Mato Grosso do Sul
510001,9,2495.9985563400005,,,,,0.3143500575714204,0.09324039580706321,False,Mato Grosso
510002,7,5748.415090709999,,,,,0.23987101435419386,0.0,False,Mato Grosso
510003,6,6464.509537649999,,,,,0.28652763347008836,0.0591903733448736,False,Mato Grosso
510004,7,4907.2976793299995,,,,,0.4655226264692185,0.23658469987488345,False,Mato Grosso
510005,8,3212.6243228900003,,,,,0.42302609268531055,0.19068592171225848,False,Mato Grosso
510006,3,2031.51662325,,,,,0.3112907007555608,0.1480978972513559,False,Mato Grosso
510007,8,6944.71990247,,,,,0.40201014206855673,0.16784984183450086,False,Mato Grosso
510008,3,5132.23489288,,,,,0.2556300627287445,0.0,False,Mato Grosso
510009,12,3660.35247973,0.16909788353710642,0.11737033396293853,0.19967915646576936,0.08230882250283084,0.2870274617746053,0.05116830529960747,False,Mato Grosso
510011,2,4494.94256953,,,,,0.27452558135297295,0.0,False,Mato Grosso
510012,12,10123.593530549999,0.15704260313087293,0.12489032720073397,0.19407813997276005,0.06918781277202608,0.27670919383081777,0.03737601243092808,False,Mato Grosso
510013,7,12816.6685447,,,,,0.25127936285323804,0.04075964657122433,False,Mato Grosso
510014,4,1415.1954288700001,,,,,0.3083329020842783,0.08594129120358564,False,Mato Grosso
510015,2,808.44489242,,,,,0.22858111503302472,0.0,False,Mato Grosso
510016,12,12139.35453527,0.14014674509987812,0.12308511268845235,0.16353301235124446,0.04044789966279211,0.26482437458344366,0.015469115616312566,False,Mato Grosso
510017,9,3818.95731884,,,,,0.2897661254277239,0.08456081750478703,False,Mato Grosso
510018,6,7691.74013323,,,,,0.2592615861328228,0.003139675043124325,False,Mato Grosso
510019,6,5610.55543493,,,,,0.2866661166895607,0.03350648041361797,False,Mato Grosso
510020,9,7789.09064006,,,,,0.26379883306396357,0.02679340862342209,False,Mato Grosso
510021,3,1556.6916462000002,,,,,0.28163780493413576,0.042857142857005204,False,Mato Grosso
510022,1,1098.71594598,,,,,0.2578308450791783,0.0,False,Mato Grosso
510023,3,5890.8460268,,,,,0.2538585318844862,0.020817361156036794,False,Mato Grosso
510024,5,4719.14042153,,,,,0.2433424475900699,0.0,False,Mato Grosso
510025,7,1637.4756947600001,,,,,0.33215832757146924,0.06663174405895017,False,Mato Grosso
510026,15,11187.94014132,0.23171933139936685,0.11689290531161453,0.3920935738343702,0.2752006685227557,0.34558618104985167,0.11785248174888203,False,Mato Grosso
510027,2,4129.59289663,,,,,0.224441372531589,0.0,False,Mato Grosso
510028,7,8171.91942686,,,,,0.24240469017478156,0.0,False,Mato Grosso
510029,6,8756.172929600001,,,,,0.2315214769317888,0.0,False,Mato Grosso
510030,9,5238.128834689999,,,,,0.3802988068788173,0.1461560701218049,False,Mato Grosso
510031,26,13658.67822508,0.14846977155457375,0.11867179737563341,0.2053086299886795,0.08663683261304608,0.2633566356999415,0.03358290740920601,False,Mato Grosso
510032,6,3751.33831744,,,,,0.3190489095483976,0.08752356679377304,False,Mato Grosso
510033,16,7167.98865816,0.3397516699605145,0.11395728762321197,0.5555922771721814,0.4416349895489694,0.4471085074513712,0.23239483246965775,False,Mato Grosso
510034,1,378.15798875,,,,,0.2745255813529729,0.0,False,Mato Grosso
510035,9,11928.86804716,,,,,0.2915161561227298,0.0535100691570621,False,Mato Grosso
510036,14,15504.154704190001,0.13167597047327056,0.1252261031735322,0.14172328814390522,0.01649718497037303,0.25767890794895826,0.005673032997582898,False,Mato Grosso
510037,2,715.5945563099999,,,,,0.24670102089664858,0.0,False,Mato Grosso
510038,14,6985.78531207,0.1449885901016539,0.10196833457914545,0.1989473067057484,0.09697897212660295,0.25486334845841063,0.03511383174489718,False,Mato Grosso
510039,10,3384.3492035999993,0.1379803258749969,0.10386137347205392,0.1764731024898679,0.07261172901781397,0.25350928763538794,0.02245136411460587,False,Mato Grosso
510040,10,5246.3991148000005,0.1467801251713969,0.12188717498149244,0.18883169636613656,0.06694452138464412,0.2695989566939991,0.02396129364879481,False,Mato Grosso
510041,22,13442.131601600002,0.15228697612430359,0.1185036412794366,0.20026902533342983,0.08176538405399322,0.26582483487513936,0.03874911737346783,False,Mato Grosso
510042,15,18840.63492196,0.131149311866267,0.11813204379777827,0.14666427293913084,0.028532229141352575,0.2501426957921992,0.01215592794033474,False,Mato Grosso
510043,4,2049.75045372,,,,,0.24844134353305128,0.003634719848447328,False,Mato Grosso
510044,3,811.84158492,,,,,0.25473547608480474,0.010633358773868019,False,Mato Grosso
510045,1,1921.14217538,,,,,0.2411361088053837,0.0,False,Mato Grosso
510046,2,1972.96149376,,,,,0.2652696655387899,0.0,False,Mato Grosso
510047,3,1063.60652416,,,,,0.2556519274497298,0.0,False,Mato Grosso
510049,7,1997.6903213599996,,,,,0.2624051576141213,0.0513435258562362,False,Mato Grosso
510050,5,4020.22872542,,,,,0.20043853503309456,0.0,False,Mato Grosso
510051,14,29063.83451575,0.181773361862707,0.1268043244892751,0.26770007434202536,0.14089574985275027,0.2839372477918049,0.07960947593360918,False,Mato Grosso
510052,10,8809.57352249,0.1752017123102181,0.14722314075546677,0.22732997978701222,0.08010683903154545,0.28731458050765013,0.06308884411278615,False,Mato Grosso
510053,22,17022.06411517,0.2111207103107465,0.1609902145453887,0.27251181592452983,0.11152160137914113,0.3302181754762696,0.0920232451452234,False,Mato Grosso
510054,21,12455.530897649998,0.13661266344390963,0.12220378832775157,0.16058672600381618,0.03838293767606461,0.23959336153333283,0.033631965354486405,False,Mato Grosso
510055,7,3069.62087721,,,,,0.3138575459690824,0.06836692419301096,False,Mato Grosso
510056,14,13733.315059250002,0.1580881366951369,0.1117754135111948,0.27761254408338576,0.16583713057219096,0.27233307136204615,0.043843202028227723,False,Mato Grosso
510057,8,6584.56682723,,,,,0.27580329287847966,0.04096793651412922,False,Mato Grosso
510058,3,6559.81664988,,,,,0.24532685460517634,0.0,False,Mato Grosso
510064,10,12422.61528054,0.12133813269589731,0.11424588905984882,0.1311732961880093,0.016927407128160474,0.24267626539179463,0.0,False,Mato Grosso
510066,3,5844.3845371200005,,,,,0.3029694940253546,0.07619812778933786,False,Mato Grosso
510068,6,2476.44954822,,,,,0.25443437203850156,0.017857142857114015,False,Mato Grosso
510069,3,651.87761472,,,,,0.26801659259358984,0.016666666666666666,False,Mato Grosso
510071,2,3491.35425654,,,,,0.2411361088053837,0.0,False,Mato Grosso
510072,2,323.88755198,,,,,0.2411361088053837,0.0,False,Mato Grosso
510073,9,13617.53649649,,,,,0.1700888164155222,0.029908111760814992,False,Mato Grosso
510074,3,880.07247065,,,,,0.25073456114022374,0.0,False,Mato Grosso
510075,1,425.67779341,,,,,0.3413045264481514,0.0,False,Mato Grosso
510076,6,2877.5715131,,,,,0.2339184706323522,0.0,False,Mato Grosso
510077,5,896.5500655800001,,,,,0.4792273468332013,0.27499999999832686,False,Mato Grosso
510078,4,2685.8658860399996,,,,,0.3682587077846449,0.11684998752440537,False,Mato Grosso
520001,1,776.75964721,,,,,0.2578308450791783,0.0,False,Goiás
520002,15,17302.550712700002,0.18298808959034718,0.13682688111773425,0.24103792637780286,0.10421104526006861,0.2895045659134777,0.07647161326721674,False,Goiás
520003,6,9525.00425906,,,,,0.23385619520822934,0.0,False,Goiás
520004,2,4337.1430789,,,,,0.27310946635079564,0.025,False,Goiás
520005,7,16058.15091521,,,,,0.32552422453762586,0.0711608852735431,False,Goiás
520006,11,9496.41669575,0.14586040476136738,0.12435226742947458,0.18767457056416817,0.06332230313469359,0.26998701660199353,0.02173379292074121,False,Goiás
520007,8,14604.8800467,,,,,0.25511502678221093,0.0016242764439451944,False,Goiás
520009,7,4990.1290500000005,,,,,0.3109109420997627,0.09103397734834127,False,Goiás
520010,8,14037.13476653,,,,,0.24233176008040203,0.003283423799484792,False,Goiás
520011,20,24946.87705096,0.19737263362052132,0.12797162751591862,0.2970724943513887,0.1691008668354701,0.31380842181790775,0.08093684542313487,False,Goiás
